,ages_ranges,genders,behavior,scholarities,relationship_statuses,audience,timestamp,publisher_platforms,topic,location
6244,25-44,2,Expats,Graduated,NOTSELECTED,41000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6245,45+,2,Expats,Graduated,NOTSELECTED,6400,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6246,18-24,1,Expats,No Degree,NOTSELECTED,4800,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6247,25-44,1,Expats,No Degree,NOTSELECTED,10000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6248,45+,1,Expats,No Degree,NOTSELECTED,990,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6249,18-24,2,Expats,No Degree,NOTSELECTED,680,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6250,25-44,2,Expats,No Degree,NOTSELECTED,1900,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6251,45+,2,Expats,No Degree,NOTSELECTED,250,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6252,18-24,1,Expats,High School,NOTSELECTED,31000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6253,25-44,1,Expats,High School,NOTSELECTED,85000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6254,45+,1,Expats,High School,NOTSELECTED,9000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6255,18-24,2,Expats,High School,NOTSELECTED,4200,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6256,25-44,2,Expats,High School,NOTSELECTED,13000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6257,45+,2,Expats,High School,NOTSELECTED,2000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6258,18-24,1,Expats,UNSPECIFIED,NOTSELECTED,17000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6259,25-44,1,Expats,UNSPECIFIED,NOTSELECTED,54000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6260,45+,1,Expats,UNSPECIFIED,NOTSELECTED,8100,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6261,18-24,2,Expats,UNSPECIFIED,NOTSELECTED,2000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6262,25-44,2,Expats,UNSPECIFIED,NOTSELECTED,7700,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6263,45+,2,Expats,UNSPECIFIED,NOTSELECTED,2000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6264,18-24,1,Locals,Graduated,NOTSELECTED,27000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6265,25-44,1,Locals,Graduated,NOTSELECTED,110000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6266,45+,1,Locals,Graduated,NOTSELECTED,13000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6267,18-24,2,Locals,Graduated,NOTSELECTED,2200,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6268,25-44,2,Locals,Graduated,NOTSELECTED,9200,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6269,45+,2,Locals,Graduated,NOTSELECTED,1700,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6270,18-24,1,Locals,No Degree,NOTSELECTED,3100,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6271,25-44,1,Locals,No Degree,NOTSELECTED,6000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6272,45+,1,Locals,No Degree,NOTSELECTED,570,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6273,18-24,2,Locals,No Degree,NOTSELECTED,410,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6274,25-44,2,Locals,No Degree,NOTSELECTED,710,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6275,45+,2,Locals,No Degree,NOTSELECTED,120,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6276,18-24,1,Locals,High School,NOTSELECTED,16000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6277,25-44,1,Locals,High School,NOTSELECTED,39000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6278,45+,1,Locals,High School,NOTSELECTED,4800,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6279,18-24,2,Locals,High School,NOTSELECTED,1800,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6280,25-44,2,Locals,High School,NOTSELECTED,3600,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6281,45+,2,Locals,High School,NOTSELECTED,550,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6282,18-24,1,Locals,UNSPECIFIED,NOTSELECTED,120000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6283,25-44,1,Locals,UNSPECIFIED,NOTSELECTED,260000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6284,45+,1,Locals,UNSPECIFIED,NOTSELECTED,44000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6285,18-24,2,Locals,UNSPECIFIED,NOTSELECTED,7900,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6286,25-44,2,Locals,UNSPECIFIED,NOTSELECTED,14000,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6287,45+,2,Locals,UNSPECIFIED,NOTSELECTED,3400,1494418491,['facebook'],cars vehicles,"{""values"": [""SA""], ""name"": ""countries"", ""location_types"": [""home""]}"
6288,18-24,1,Expats,Graduated,NOTSELECTED,1400,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6289,25-44,1,Expats,Graduated,NOTSELECTED,1600,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6290,45+,1,Expats,Graduated,NOTSELECTED,180,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6291,18-24,2,Expats,Graduated,NOTSELECTED,230,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6292,25-44,2,Expats,Graduated,NOTSELECTED,210,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6293,45+,2,Expats,Graduated,NOTSELECTED,40,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6294,18-24,1,Expats,No Degree,NOTSELECTED,30,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6295,25-44,1,Expats,No Degree,NOTSELECTED,30,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6296,45+,1,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6297,18-24,2,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6298,25-44,2,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6299,45+,2,Expats,No Degree,NOTSELECTED,0,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6300,18-24,1,Expats,High School,NOTSELECTED,440,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6301,25-44,1,Expats,High School,NOTSELECTED,390,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6302,45+,1,Expats,High School,NOTSELECTED,70,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6303,18-24,2,Expats,High School,NOTSELECTED,50,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6304,25-44,2,Expats,High School,NOTSELECTED,70,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6305,45+,2,Expats,High School,NOTSELECTED,0,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6306,18-24,1,Expats,UNSPECIFIED,NOTSELECTED,360,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6307,25-44,1,Expats,UNSPECIFIED,NOTSELECTED,440,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6308,45+,1,Expats,UNSPECIFIED,NOTSELECTED,70,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6309,18-24,2,Expats,UNSPECIFIED,NOTSELECTED,60,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6310,25-44,2,Expats,UNSPECIFIED,NOTSELECTED,180,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6311,45+,2,Expats,UNSPECIFIED,NOTSELECTED,0,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6312,18-24,1,Locals,Graduated,NOTSELECTED,3400,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6313,25-44,1,Locals,Graduated,NOTSELECTED,4100,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6314,45+,1,Locals,Graduated,NOTSELECTED,200,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6315,18-24,2,Locals,Graduated,NOTSELECTED,990,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6316,25-44,2,Locals,Graduated,NOTSELECTED,990,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6317,45+,2,Locals,Graduated,NOTSELECTED,50,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6318,18-24,1,Locals,No Degree,NOTSELECTED,140,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6319,25-44,1,Locals,No Degree,NOTSELECTED,50,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6320,45+,1,Locals,No Degree,NOTSELECTED,0,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6321,18-24,2,Locals,No Degree,NOTSELECTED,30,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6322,25-44,2,Locals,No Degree,NOTSELECTED,0,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6323,45+,2,Locals,No Degree,NOTSELECTED,0,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6324,18-24,1,Locals,High School,NOTSELECTED,1600,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6325,25-44,1,Locals,High School,NOTSELECTED,960,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6326,45+,1,Locals,High School,NOTSELECTED,50,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6327,18-24,2,Locals,High School,NOTSELECTED,520,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6328,25-44,2,Locals,High School,NOTSELECTED,300,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6329,45+,2,Locals,High School,NOTSELECTED,50,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6330,18-24,1,Locals,UNSPECIFIED,NOTSELECTED,3500,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6331,25-44,1,Locals,UNSPECIFIED,NOTSELECTED,2200,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6332,45+,1,Locals,UNSPECIFIED,NOTSELECTED,310,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6333,18-24,2,Locals,UNSPECIFIED,NOTSELECTED,2100,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6334,25-44,2,Locals,UNSPECIFIED,NOTSELECTED,2100,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6335,45+,2,Locals,UNSPECIFIED,NOTSELECTED,160,1494418491,['facebook'],cars vehicles,"{""values"": [""SO""], ""name"": ""countries"", ""location_types"": [""home""]}"
6336,18-24,1,Expats,Graduated,NOTSELECTED,18000,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6337,25-44,1,Expats,Graduated,NOTSELECTED,17000,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6338,45+,1,Expats,Graduated,NOTSELECTED,3100,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6339,18-24,2,Expats,Graduated,NOTSELECTED,4200,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6340,25-44,2,Expats,Graduated,NOTSELECTED,4300,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6341,45+,2,Expats,Graduated,NOTSELECTED,890,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6342,18-24,1,Expats,No Degree,NOTSELECTED,1100,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6343,25-44,1,Expats,No Degree,NOTSELECTED,450,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6344,45+,1,Expats,No Degree,NOTSELECTED,80,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6345,18-24,2,Expats,No Degree,NOTSELECTED,440,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6346,25-44,2,Expats,No Degree,NOTSELECTED,120,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6347,45+,2,Expats,No Degree,NOTSELECTED,40,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6348,18-24,1,Expats,High School,NOTSELECTED,7900,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6349,25-44,1,Expats,High School,NOTSELECTED,4800,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6350,45+,1,Expats,High School,NOTSELECTED,950,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
6351,18-24,2,Expats,High School,NOTSELECTED,2200,1494418491,['facebook'],cars vehicles,"{""values"": [""TN""], ""name"": ""countries"", ""location_types"": [""home""]}"
